IGUUDC01 Index,
9/22/2017,1.506
9/25/2017,1.499
9/26/2017,1.503
9/27/2017,1.507
9/28/2017,1.486
9/29/2017,1.505
10/2/2017,1.504
10/3/2017,1.496
10/4/2017,1.492
10/5/2017,1.504
10/6/2017,1.514
10/10/2017,1.515
10/11/2017,1.515
10/12/2017,1.519
10/13/2017,1.502
10/16/2017,1.519
10/17/2017,1.535
10/18/2017,1.538
10/19/2017,1.528
10/20/2017,1.55
10/23/2017,1.541
10/24/2017,1.555
10/25/2017,1.557
10/26/2017,1.575
10/27/2017,1.567
10/30/2017,1.558
10/31/2017,1.576
11/1/2017,1.59
11/2/2017,1.595
11/3/2017,1.598
11/6/2017,1.608
11/7/2017,1.63
11/8/2017,1.648
11/9/2017,1.65
11/10/2017,1.673
11/13/2017,1.689
11/14/2017,1.695
11/15/2017,1.719
11/16/2017,1.725
11/17/2017,1.733
11/20/2017,1.748
11/21/2017,1.761
11/22/2017,1.74
11/24/2017,1.756
11/27/2017,1.751
11/28/2017,1.752
11/29/2017,1.763
11/30/2017,1.778
12/1/2017,1.784
12/4/2017,1.807
12/5/2017,1.808
12/6/2017,1.8
12/7/2017,1.811
12/8/2017,1.818
12/11/2017,1.841
12/12/2017,1.849
12/13/2017,1.823
12/14/2017,1.845
12/15/2017,1.859
12/18/2017,1.863
12/19/2017,1.882
12/20/2017,1.889
12/21/2017,1.902
12/22/2017,1.916
12/26/2017,1.928
12/27/2017,1.918
12/28/2017,1.915
12/29/2017,1.911
1/2/2018,1.926
1/3/2018,1.928
1/4/2018,1.946
1/5/2018,1.94
1/8/2018,1.937
1/9/2018,1.943
1/10/2018,1.943
1/11/2018,1.942
1/12/2018,1.956
1/16/2018,1.977
1/17/2018,2.002
1/18/2018,2.004
1/19/2018,2.018
1/22/2018,2.02
1/23/2018,2.004
1/24/2018,2.017
1/25/2018,2.024
1/26/2018,2.055
1/29/2018,2.053
1/30/2018,2.053
1/31/2018,2.074
2/1/2018,2.078
2/2/2018,2.079
2/5/2018,2.029
2/6/2018,2.072
2/7/2018,2.095
2/8/2018,2.099
2/9/2018,2.1
2/12/2018,2.118
2/13/2018,2.158
2/14/2018,2.21
2/15/2018,2.221
2/16/2018,2.225
2/20/2018,2.245
2/21/2018,2.264
2/22/2018,2.263
2/23/2018,2.258
2/26/2018,2.26
2/27/2018,2.308
2/28/2018,2.316
3/1/2018,2.288
