IGUUDC01 Index,
3/2/2018,2.308
3/5/2018,2.328
3/6/2018,2.345
3/7/2018,2.344
3/8/2018,2.354
3/9/2018,2.361
3/12/2018,2.379
3/13/2018,2.385
3/14/2018,2.392
3/15/2018,2.419
3/16/2018,2.421
3/19/2018,2.437
3/20/2018,2.477
3/21/2018,2.442
3/22/2018,2.443
3/23/2018,2.434
3/26/2018,2.464
3/27/2018,2.426
3/28/2018,2.437
3/29/2018,2.432
4/2/2018,2.415
4/3/2018,2.441
4/4/2018,2.449
4/5/2018,2.448
4/6/2018,2.412
4/9/2018,2.419
4/10/2018,2.396
4/11/2018,2.397
4/12/2018,2.43
4/13/2018,2.442
4/16/2018,2.465
4/17/2018,2.456
4/18/2018,2.473
4/19/2018,2.465
4/20/2018,2.481
4/23/2018,2.498
4/24/2018,2.49
4/25/2018,2.505
4/26/2018,2.495
4/27/2018,2.485
4/30/2018,2.501
5/1/2018,2.519
5/2/2018,2.497
5/3/2018,2.486
5/4/2018,2.497
5/7/2018,2.505
5/8/2018,2.506
5/9/2018,2.509
5/10/2018,2.511
5/11/2018,2.501
5/14/2018,2.5
5/15/2018,2.521
5/16/2018,2.528
5/17/2018,2.524
5/18/2018,2.515
5/21/2018,2.522
5/22/2018,2.527
5/23/2018,2.498
5/24/2018,2.462
5/25/2018,2.463
5/29/2018,2.395
5/30/2018,2.447
5/31/2018,2.472
6/1/2018,2.498
6/4/2018,2.539
6/5/2018,2.512
6/6/2018,2.529
6/7/2018,2.519
6/8/2018,2.53
6/11/2018,2.543
6/12/2018,2.567
6/13/2018,2.588
6/14/2018,2.592
6/15/2018,2.572
6/18/2018,2.571
6/19/2018,2.572
6/20/2018,2.585
6/21/2018,2.588
6/22/2018,2.599
6/25/2018,2.586
6/26/2018,2.589
6/27/2018,2.563
6/28/2018,2.571
6/29/2018,2.586
7/2/2018,2.598
7/3/2018,2.582
7/5/2018,2.599
7/6/2018,2.591
7/9/2018,2.6
7/10/2018,2.604
7/11/2018,2.597
7/12/2018,2.608
7/13/2018,2.604
7/16/2018,2.601
7/17/2018,2.603
7/18/2018,2.597
7/19/2018,2.58
7/20/2018,2.575
7/23/2018,2.591
7/24/2018,2.589
7/25/2018,2.588
7/26/2018,2.603
7/27/2018,2.606
7/30/2018,2.593
7/31/2018,2.594
8/1/2018,2.584
8/2/2018,2.578
8/3/2018,2.562
8/6/2018,2.561
8/7/2018,2.578
8/8/2018,2.572
8/9/2018,2.564
8/10/2018,2.539
8/13/2018,2.538
8/14/2018,2.555
8/15/2018,2.554
8/16/2018,2.554
8/17/2018,2.549
8/20/2018,2.529
8/21/2018,2.537
8/22/2018,2.534
8/23/2018,2.543
8/24/2018,2.563
8/27/2018,2.563
8/28/2018,2.581
8/29/2018,2.586
8/30/2018,2.57
8/31/2018,2.567
9/4/2018,2.588
9/5/2018,2.584
9/6/2018,2.581
9/7/2018,2.618
9/10/2018,2.627
9/11/2018,2.645
9/12/2018,2.633
9/13/2018,2.642
9/14/2018,2.659
9/17/2018,2.661
9/18/2018,2.671
9/19/2018,2.677
9/20/2018,2.683
9/21/2018,2.679
9/24/2018,2.688
9/25/2018,2.7
9/26/2018,2.697
9/27/2018,2.698
9/28/2018,2.687
10/1/2018,2.7
10/2/2018,2.696
10/3/2018,2.73
10/4/2018,2.746
10/5/2018,2.75
10/9/2018,2.759
10/10/2018,2.757
10/11/2018,2.765
10/12/2018,2.77
10/15/2018,2.775
10/16/2018,2.792
10/17/2018,2.813
10/18/2018,2.817
10/19/2018,2.847
10/22/2018,2.847
10/23/2018,2.837
10/24/2018,2.809
10/25/2018,2.832
10/26/2018,2.822
10/29/2018,2.828
10/30/2018,2.85
10/31/2018,2.866
11/1/2018,2.858
11/2/2018,2.901
11/5/2018,2.897
11/6/2018,2.903
11/7/2018,2.91
11/8/2018,2.93
11/9/2018,2.906
11/13/2018,2.896
11/14/2018,2.891
11/15/2018,2.904
11/16/2018,2.877
11/19/2018,2.876
11/20/2018,2.894
11/21/2018,2.916
11/23/2018,2.913
11/26/2018,2.933
11/27/2018,2.938
11/28/2018,2.93
11/29/2018,2.938
11/30/2018,2.941
12/3/2018,2.96
12/4/2018,2.958
12/6/2018,2.962
12/7/2018,2.954
12/10/2018,2.968
12/11/2018,2.979
12/12/2018,2.977
12/13/2018,2.962
12/14/2018,2.946
12/17/2018,2.933
12/18/2018,2.895
12/19/2018,2.884
12/20/2018,2.921
12/21/2018,2.895
12/24/2018,2.873
12/26/2018,2.904
12/27/2018,2.879
12/28/2018,2.817
12/31/2018,2.83
1/2/2019,2.814
1/3/2019,2.76
1/4/2019,2.809
1/7/2019,2.827
1/8/2019,2.835
1/9/2019,2.827
1/10/2019,2.811
1/11/2019,2.794
1/14/2019,2.786
1/15/2019,2.782
1/16/2019,2.758
1/17/2019,2.746
1/18/2019,2.751
1/22/2019,2.742
1/23/2019,2.734
1/24/2019,2.699
1/25/2019,2.72
1/28/2019,2.714
1/29/2019,2.7
1/30/2019,2.664
1/31/2019,2.623
2/1/2019,2.643
2/4/2019,2.667
2/5/2019,2.658
2/6/2019,2.662
2/7/2019,2.661
2/8/2019,2.649
2/11/2019,2.657
2/12/2019,2.662
2/13/2019,2.681
2/14/2019,2.661
2/15/2019,2.676
2/19/2019,2.651
2/20/2019,2.65
2/21/2019,2.674
2/22/2019,2.645
2/25/2019,2.661
2/26/2019,2.652
2/27/2019,2.663
2/28/2019,2.682
3/1/2019,2.698
3/4/2019,2.691
3/5/2019,2.701
3/6/2019,2.678
3/7/2019,2.662
3/8/2019,2.659
3/11/2019,2.665
3/12/2019,2.648
3/13/2019,2.64
3/14/2019,2.65
3/15/2019,2.63
3/18/2019,2.633
3/19/2019,2.643
3/20/2019,2.595
3/21/2019,2.592
3/22/2019,2.535
3/25/2019,2.491
3/26/2019,2.519
3/27/2019,2.492
3/28/2019,2.515
3/29/2019,2.551
4/1/2019,2.583
4/2/2019,2.568
4/3/2019,2.59
4/4/2019,2.589
4/5/2019,2.581
4/8/2019,2.595
4/9/2019,2.582
4/10/2019,2.568
4/11/2019,2.589
4/12/2019,2.611
4/15/2019,2.61
4/16/2019,2.631
4/17/2019,2.63
4/18/2019,2.617
4/22/2019,2.631
4/23/2019,2.607
4/24/2019,2.578
4/25/2019,2.581
4/26/2019,2.553
4/29/2019,2.562
4/30/2019,2.543
5/1/2019,2.566
5/2/2019,2.597
5/3/2019,2.595
5/6/2019,2.572
5/7/2019,2.557
5/8/2019,2.571
5/9/2019,2.564
5/10/2019,2.557
5/13/2019,2.511
5/14/2019,2.524
5/15/2019,2.502
5/16/2019,2.52
5/17/2019,2.513
5/20/2019,2.541
5/21/2019,2.564
5/22/2019,2.55
5/23/2019,2.499
5/24/2019,2.515
5/28/2019,2.48
5/29/2019,2.475
5/30/2019,2.46
5/31/2019,2.379
6/3/2019,2.317
6/4/2019,2.328
6/5/2019,2.283
6/6/2019,2.316
6/7/2019,2.281
6/10/2019,2.32
6/11/2019,2.336
6/12/2019,2.303
6/13/2019,2.266
6/14/2019,2.259
6/17/2019,2.283
6/18/2019,2.274
6/19/2019,2.209
6/20/2019,2.152
6/21/2019,2.163
6/24/2019,2.133
6/25/2019,2.129
6/26/2019,2.166
6/27/2019,2.15
6/28/2019,2.151
7/1/2019,2.168
7/2/2019,2.162
7/3/2019,2.147
7/5/2019,2.223
7/8/2019,2.245
7/9/2019,2.252
7/10/2019,2.193
7/11/2019,2.196
7/12/2019,2.19
7/15/2019,2.182
7/16/2019,2.197
7/17/2019,2.174
7/18/2019,2.139
7/19/2019,2.159
7/22/2019,2.164
7/23/2019,2.178
7/24/2019,2.165
7/25/2019,2.183
7/26/2019,2.187
7/29/2019,2.175
7/30/2019,2.17
7/31/2019,2.188
8/1/2019,2.11
8/2/2019,2.076
8/5/2019,2.011
8/6/2019,2.001
8/7/2019,1.993
8/8/2019,2.014
8/9/2019,2.021
8/12/2019,1.994
8/13/2019,2.047
8/14/2019,2.011
8/15/2019,1.924
8/16/2019,1.933
8/19/2019,1.957
8/20/2019,1.921
8/21/2019,1.952
8/22/2019,1.98
8/23/2019,1.909
8/26/2019,1.925
8/27/2019,1.911
8/28/2019,1.913
8/29/2019,1.93
8/30/2019,1.909
9/3/2019,1.873
9/4/2019,1.851
9/5/2019,1.923
9/6/2019,1.918
9/9/2019,1.951
9/10/2019,2.009
9/11/2019,2.007
